mot,occurrence
mëngazu,7
fëm,7
misaala,7
atsende,7
bibëm,7
ny,7
miakad,7
waanyëb,7
ndzaṅan,7
nkoan,7
ebugu,7
sulfur,6
atil,6
miakam,6
angadu,6
atoṅo,6
bingatye,6
bikye,6
owogo,6
minzëzam,6
lomo,6
tii,6
tsigëban,6
taman,6
mingayen,6
sole,6
bëngatari,6
erodiada,6
binanga,6
engavin,6
evòg,6
miaku,6
dug,6
bëngadug,6
nikodemus,6
antëm,6
aboe,6
ataman,6
abodo,6
angakèè,6
bayon,6
waandëgëlë,6
ongakòbò,6
ezëzam,6
afëdë,6
yayene,6
yabë,6
angawòbò,6
mivogolo,6
mviè,6
oku,6
midi,6
ehë,6
bëngayili,6
miwoe,6
yobo,6
awuban,6
mabë,6
bada,6
bëngabui,6
vologo,6
biawu,6
miadaṅ,6
atsigi,6
bëngalaban,6
asub,6
bitelëge,6
tarigi,6
ndo,6
bakele,6
babòòlò,6
mëngatilban,6
siprus,6
kab,6
baluman,6
dzòdiban,6
bëmbëlë,6
abie,6
bëkarëga,6
bëyanga,6
bëngasëm,6
mëvëṅ,6
bizilngan,6
evëṅan,6
yene,6
asama,6
adzòdi,6
bësubu,6
bëtaman,6
mindondòg,6
mimbombog,6
otëtëg,6
dzëṅë,6
osòò,6
mëkòbò,6
bibëgë,6
batoan,6
bëlom,6
mitoan,6
kòn,6
babed,6
bëtibili,6
ebòò,6
biyëyëm,6
bëngalum,6
bëdudu,6
abanda,6
batibili,6
lòṅ,6
binòṅ,6
biaku,6
biayanga,6
saala,6
kòṅan,6
asaala,6
onyii,6
aduu,6
alaṅa,6
toṅ,6
yit,6
biabòòlò,6
bëtye,6
aboo,6
zeyaṅ,6
bëngasuan,6
midiṅan,6
obòban,6
artemis,6
yatoban,6
bivòg,6
mabaala,6
atòbògò,6
mazuzu,6
mitsogo,6
vogolan,6
bëdzo,6
evaa,6
mëngatòb,6
miakui,6
nkanan,6
angatuni,6
kamele,6
mëngabi,6
laban,6
angatoṅ,6
asus,6
mvaman,6
bëngabaala,6
maku,6
fadi,6
akila,6
ṅwoe,6
bëngatag,6
ewumu,6
bëngalaṅëdan,6
wakad,6
bambara,6
nkabag,6
bug,6
miṅwuwub,6
